name_of_city,population_total,effective_literacy_rate_total,total_graduates,sample_mean
Lucknow ,0.22563713256946158,0.8574898785425101,0.2687767571293441,0.23896769400720502
Ludhiana ,0.12933324154840742,0.8641700404858299,0.09511660019170362,0.12780912419668589
Machilipatnam ,0.013624131272104614,0.8433198380566801,0.008946769154716707,0.01330190743301938
Madanapalle ,0.010872266396611693,0.8238866396761134,0.007376852485911495,0.010653061907348094
Madavaram ,0.009498377482390236,0.9136639676113361,0.008340322996735455,0.009603049561774794
Madhyamgram ,0.015944612338378326,0.9125506072874494,0.012418864752601934,0.015870010195177867
Madurai ,0.08149131057734989,0.9253036437246964,0.058402070651202516,0.08029569250899216
Mahbubnagar ,0.01265397849588174,0.857995951417004,0.013635358827483401,0.01318352910813597
Mahesana ,0.014756083028601236,0.9209514170040486,0.012241928345707627,0.014804029677585746
Maheshtala ,0.036015940124600444,0.8363360323886639,0.014968459847366462,0.03380405647420068
Mainpuri ,0.009402371945803832,0.8699392712550608,0.008439371367007079,0.009534264020915624
Malegaon ,0.03774556240852728,0.8771255060728745,0.010278519515005153,0.03458622171054235
Malerkotla ,0.010845099554455775,0.7110323886639677,0.004397297420195153,0.010165127256177575
Mandoli ,0.009644228965351217,0.8170040485829959,0.003274899297071725,0.008941988667404284
Mandsaur ,0.011336987687650554,0.8784412955465588,0.008205257037274153,0.011188349288943127
Mandya ,0.011037831871225642,0.8614372469635627,0.007294912470504971,0.010785246076799255
Mangalore ,0.038849786355625825,0.9517206477732794,0.03516082078683125,0.039421584325167305
Mango ,0.017951112025398674,0.8767206477732794,0.012913206164230301,0.017699898006767398
Mathura ,0.02799515035805337,0.7768218623481782,0.019970402546083378,0.027573158673070062
Maunath Bhanjan ,0.02236335979950069,0.7955465587044535,0.009353317692695227,0.02100101717059694
Medinipur ,0.013553529537770205,0.9110323886639677,0.012830365709094037,0.013844708342318409
Meerut ,0.10490271746155591,0.7864372469635628,0.07834951198417747,0.1038537375159166
Mira Bhayander ,0.0652849669514163,0.9480769230769232,0.053353755306403884,0.06534981190986265
Miryalaguda ,0.008322750419182772,0.8308704453441296,0.006022591132379498,0.008214749909450437
Mirzapur-cum-Vindhyachal ,0.018727570826722266,0.792004048582996,0.011636382627456119,0.018179183348133655
Modinagar ,0.0104308653152111,0.9109311740890689,0.011118179562989586,0.010849870117644926
Moga ,0.01205534631032211,0.8308704453441296,0.007996805239838875,0.0117832904392829
Moradabad ,0.07130775167775284,0.7150809716599191,0.04141977734826802,0.0687547059856896
Morena ,0.016068185408007904,0.8135627530364372,0.009612644334860929,0.015540844857243212
Morvi ,0.015088255774135997,0.856174089068826,0.0068410908467149934,0.014253826578038914
Motihari ,0.010031937467859582,0.8825910931174089,0.00880179835822824,0.010140825580598156
